,City,Country,Latitude,Longitude,Temperature,Cloudiness,Humidity,Maximum temperature,Wind speed
0,ushuaia,ar,-53.71787725890022,-54.9924137418479,2.85,100,91,2.85,5.92
1,chandbali,in,20.58700943426733,87.54734980538979,30.05,87,80,30.05,11.69
2,nikolskoye,ru,43.03315478426714,176.02872166252683,10.05,100,91,10.05,3.27
3,ambilobe,mg,-10.29978695600775,51.84142633743596,25.55,34,77,25.55,11.48
4,ushuaia,ar,-75.05984143864468,-81.76562032894026,-23.05,100,100,-23.05,5.86
5,port said,eg,31.518056075956466,33.13501996603682,26.55,0,69,26.55,7.05
6,mahaicony,gy,8.951085041760095,-55.974710862464605,27.15,8,75,27.15,8.4
7,lagoa,pt,50.472697828811306,-26.56126762140653,16.25,50,87,16.25,8.61
8,vaini,to,-52.15251232339704,-177.19054416685202,7.55,98,94,7.55,8.99
9,ushuaia,ar,-78.90395141738557,-82.01199127265981,-25.75,100,97,-25.75,0.28
10,albany,au,-85.92846462456423,109.63432037846815,-53.35,91,100,-53.35,4.61
11,busselton,au,-85.12032859189546,87.96078596837248,-53.15,82,96,-53.15,3.4
12,bilibino,ru,71.80837083752166,164.7911255973653,0.45,100,97,0.45,3.8
13,sikasso,ml,11.79942540597456,-6.0720436232213615,30.75,77,54,30.75,1.43
14,touros,br,-3.186210274640544,-33.089487885894385,26.25,26,76,26.25,5.07
15,grand gaube,mu,-15.111498322516084,65.32253129920898,24.45,77,70,24.45,8.07
16,cabo san lucas,mx,10.883483800466422,-118.06439019497654,26.75,27,79,26.75,4.88
17,bluff,nz,-84.49919983887126,168.77683053383396,-32.55,13,52,-32.55,5.81
18,mys shmidta,ru,88.3424622881625,-174.95276121690048,0.85,100,96,0.85,8.45
19,mutare,zw,-19.186230367456062,32.089950089707486,15.35,36,40,15.35,3.59
20,petropavlovsk-kamchatskiy,ru,44.726600065605936,164.5993901203878,8.55,100,87,8.55,2.91
21,pocoes,br,-14.394909568403023,-40.41123649723937,27.15,0,35,27.15,2.69
22,portland,au,-40.08135542347044,141.82581487793846,11.65,100,75,11.65,17.44
23,vaini,to,-52.357529381097955,-179.25980418665736,6.85,56,94,6.85,10.72
24,ostrovnoy,ru,68.54288814042329,41.31674098314056,7.25,3,90,7.25,2.26
25,provideniya,ru,53.26213758539586,-176.87456328370558,6.75,100,97,6.75,3.86
26,batagay-alyta,ru,66.05025271983308,129.55798929613945,13.45,5,64,13.45,0.75
27,hermanus,za,-87.36582652340996,-7.186970089811638,-50.65,0,69,-50.65,6.17
28,illoqqortoormiut,gl,80.28639331822481,-18.10615444326561,2.25,27,85,2.25,0.27
29,sentyabrskiy,ru,42.16730126606831,151.19572107428263,13.55,70,90,13.55,5.64
30,lerik,az,39.079886520063525,48.18395751387317,23.48,0,65,25.0,8.2
31,boulder city,us,35.94806731780268,-114.58497575241209,36.77,1,17,38.33,3.1
32,kapaa,us,22.47204137186543,-162.04782129210082,26.55,31,79,26.55,7.39
33,new norfolk,au,-80.0417454684281,127.59624782326694,-47.05,100,98,-47.05,4.52
34,jasper,ca,53.00928117152108,-119.05293370413006,17.22,7,70,17.22,0.89
35,atuona,pf,-7.428657068406665,-122.21468076007947,25.85,53,77,25.85,8.6
36,san cristobal,ec,-17.184749539130863,-93.45000102046214,19.45,95,72,19.45,9.15
37,kieta,pg,3.2990248832370668,161.1158035156568,28.65,99,75,28.65,4.59
38,xai-xai,mz,-26.556438424193146,34.87585857581627,22.55,32,77,22.55,3.93
39,kieta,pg,-1.4033386411962283,160.02860553351485,28.25,99,76,28.25,6.24
40,yellowknife,ca,87.9571839931362,-110.21242802833122,1.35,100,89,1.35,7.46
41,rikitea,pf,-21.92363912209332,-140.74318702323546,23.25,0,87,23.25,3.35
42,mataura,pf,-46.94383609036746,-149.28905433132397,9.05,28,87,9.05,7.12
43,mys shmidta,ru,74.90399432000459,-173.93745777081767,0.95,97,97,0.95,5.5
44,puerto ayora,ec,-26.60287088711066,-101.99451116873605,18.35,77,64,18.35,4.86
45,smithers,ca,58.6920606090234,-128.1569351267753,15.25,18,52,15.25,3.15
46,albany,au,-63.17529031126355,108.19518224471068,-17.75,100,97,-17.75,2.29
47,yellowknife,ca,80.07243986308953,-112.35936630788758,2.45,91,92,2.45,3.29
48,leningradskiy,ru,75.05316834793493,176.65267738025955,0.65,100,97,0.65,7.53
49,yerbogachen,ru,62.00804152705396,107.62853637259434,15.85,13,85,15.85,1.36
50,jamestown,sh,-50.99195705643245,-13.388790145651939,-5.05,100,78,-5.05,21.6
51,vaini,to,-49.84683191807904,-175.25775593464047,8.25,59,94,8.25,6.37
52,chuy,uy,-63.97477339863839,-22.793265198013785,-29.15,37,98,-29.15,6.58
53,asuncion,py,-25.061273584442873,-58.19329154064688,24.15,90,54,24.15,2.42
54,mount isa,au,-22.136914477627556,142.03636432726148,12.65,86,53,12.65,7.96
55,mount gambier,au,-53.26126115282313,130.187178593189,2.95,100,84,2.95,13.67
